train_loss,validation_loss
276.41614979479283,272.26788330078125
276.24394461341893,272.1409912109375
276.1442966545206,271.9527893066406
276.0294229784726,271.86163330078125
275.94247275197034,271.9312744140625
275.8727738300609,272.03704833984375
275.82771576868805,271.66400146484375
275.63287756831636,271.7392272949219
275.6292075270598,271.54571533203125
275.55989121760564,271.5318908691406
275.54720464361924,271.63128662109375
275.355583695063,271.2200622558594
275.3923601999157,271.9583435058594
275.7131772482448,271.53973388671875
275.31662941819246,271.3188781738281
275.18757582341,271.139892578125
275.1919823197016,271.0128479003906
275.09125253282457,270.9372863769531
275.0131362713381,271.1324768066406
274.97890858923284,271.2802429199219
274.94706074046667,270.87762451171875
274.84618817972193,271.0733337402344
275.17667015848707,270.7982482910156
274.8612462518499,270.7662658691406
274.6670323846624,270.6238708496094
274.6207026679085,270.7798156738281
274.55905568127065,270.4328308105469
274.5569302058955,270.71356201171875
274.58127691462175,270.42047119140625
274.4028374087968,270.50213623046875
274.4309547189049,270.4730224609375
274.3686376899349,270.3180847167969
274.1488307331102,270.31549072265625
274.2045075672839,270.09539794921875
274.0931504035311,270.26922607421875
274.07177720931134,269.9938659667969
273.9988797225616,270.3672180175781
274.0162438211987,269.9973449707031
273.932834440391,269.9850769042969
273.84773798871146,269.86920166015625
273.7601142244717,269.68475341796875
273.654939626282,269.70281982421875
273.70591339245766,269.82763671875
273.6415578699322,269.48046875
273.5971090846125,269.78668212890625
273.59638432574167,269.75457763671875
273.6157937743065,269.4452819824219
273.3905335817043,269.3740539550781
273.36071595851547,269.3921813964844
273.1873409590532,269.1725158691406
273.21740695768517,269.3182678222656
273.9971140050678,269.4902648925781
273.51310279610925,269.1812744140625
273.4044318514248,269.18121337890625
273.2334277451301,269.1161193847656
273.11488147349087,269.15863037109375
273.0962371826172,269.3941650390625
273.218492818824,269.2889099121094
273.02195585141624,269.11834716796875
273.00857530501446,268.937255859375
273.1352615692542,269.7706298828125
273.1358403277292,269.1832580566406
272.75928299017414,269.0287780761719
272.71195479741704,268.8617858886719
272.74535205185674,268.6654357910156
272.5936054784296,268.5993347167969
272.48484365320417,268.62548828125
272.4477685600651,268.5673828125
272.3633299167986,268.6048278808594
272.44653064879026,268.3569030761719
272.52488782437365,268.31829833984375
272.383584043528,268.26397705078125
272.15066797197653,268.3554992675781
272.1102452215119,268.4517517089844
272.0815471363488,268.21624755859375
272.0597586610769,268.017822265625
271.9469197143017,268.2744140625
271.9257001834819,267.98443603515625
271.8389389777499,267.8243103027344
271.760755228051,267.8999328613281
271.7623824737145,267.95001220703125
271.7307548354901,267.8360290527344
271.6260482183112,267.7408142089844
271.6442095382623,267.7694396972656
271.57563963230484,267.6336364746094
271.48703513796636,267.8382568359375
271.4698788815133,267.6409606933594
271.491571233136,267.6570129394531
271.42092989614883,267.7354431152344
271.358938477638,267.5931396484375
271.5629896256367,267.5863952636719
271.2852789925058,267.4020690917969
271.2072042725685,267.2601013183594
271.093029812044,267.3315734863281
271.165976100031,267.5050048828125
271.0533980987145,267.2349853515625
271.0149493112438,267.24908447265625
271.0521366606725,267.12158203125
270.96845638594436,267.2064514160156
271.1204871627203,267.2623596191406
270.8807369013715,267.0220947265625
270.8556066168562,267.08294677734375
270.86450222200233,267.0414123535156
270.7245691778376,266.9535827636719
270.73102035186366,267.26416015625
270.7016863717907,266.9646911621094
270.6110975626807,266.87457275390625
270.60563289961624,266.81976318359375
270.63992376789645,266.8468322753906
270.67528960778327,266.9508056640625
270.643143842924,266.68572998046875
270.5334547941905,266.8128967285156
270.60215739111544,267.078125
270.8145251841272,266.8882141113281
270.73676975603144,266.6565856933594
270.4229552147147,266.4783020019531
270.36304853666195,266.6300048828125
270.28458757442525,266.44647216796875
270.1499452969051,266.3789367675781
270.08673579682335,266.465087890625
270.3221016098224,266.4027404785156
270.13509930177935,266.6885986328125
270.2453649579691,266.5699462890625
270.20495887789957,266.1802673339844
270.27569956506403,266.2877502441406
270.2040268145994,266.1304016113281
270.1227734267449,266.50762939453125
269.9076434568162,266.3518371582031
269.7530453047563,265.84991455078125
269.75543575875037,266.66461181640625
269.8841935884585,266.0667724609375
269.84327650700374,265.7903137207031
269.7048489070674,266.3741455078125
269.77911995371005,265.8129577636719
269.56225485108496,266.0495300292969
269.77022952445276,265.9330749511719
269.49080479827745,265.8935852050781
269.46385576021305,265.6820068359375
269.57137174228217,265.6851806640625
269.403550202626,265.6424255371094
269.3933252006901,265.6846923828125
269.27308849721226,266.0433654785156
269.27209042452506,265.4803771972656
269.23961568823995,265.5563659667969
269.2011814201456,265.5688781738281
269.140073129259,265.7730712890625
269.2503624466547,265.68359375
269.2270498401793,265.3841857910156
269.0905135234547,265.3258972167969
269.0581979625551,265.2065734863281
